year,month,event_count,mag_mean
2000,1,2204,1.9682032667876588
2000,2,1919,1.9886294945284002
2000,3,1981,1.9922917718324078
2000,4,1730,1.9349306358381502
2000,5,2173,1.9311366774045098
2000,6,1781,2.0676754632229084
2000,7,1707,2.0670474516695956
2000,8,1483,1.9980040458530006
2000,9,1450,1.907744827586207
2000,10,1342,2.063464977645306
2000,11,1377,2.4222657952069717
2000,12,1377,2.1620915032679737
2001,1,2082,2.698366954851105
2001,2,2241,2.591097724230254
2001,3,2189,2.6678026496116947
2001,4,2682,2.653489932885906
2001,5,2669,2.5234807043836645
2001,6,2523,2.7751684502576297
2001,7,5693,1.926964693483225
2001,8,2235,2.770876957494407
2001,9,1401,3.291484653818701
2001,10,1601,3.233216739537789
2001,11,1526,3.159036697247706
2001,12,1450,3.274434482758621
2002,1,941,4.229851222104145
2002,2,1076,3.6990985130111524
2002,3,1371,3.7137272064186724
2002,4,1300,3.5026076923076928
2002,5,1002,3.734630738522954
2002,6,810,4.549506172839506
2002,7,671,4.511922503725782
2002,8,764,4.546596858638743
2002,9,881,4.57005675368899
2002,10,962,4.599968814968815
2002,11,1057,4.529886471144749
2002,12,729,4.541358024691358
2003,1,683,4.556881405563689
2003,2,642,4.529563862928349
2003,3,781,4.549859154929577
2003,4,750,4.498453333333334
2003,5,803,4.543262764632628
2003,6,787,4.5130368487928845
2003,7,795,4.574327044025157
2003,8,895,4.537217877094972
2003,9,884,4.616696832579185
2003,10,883,4.562083805209514
2003,11,957,4.552351097178684
2003,12,931,4.568668098818475
2004,1,906,4.5522516556291395
2004,2,835,4.538443113772455
2004,3,877,4.555142531356899
2004,4,946,4.545031712473573
2004,5,1130,4.494159292035398
2004,6,923,4.488060671722643
2004,7,901,4.502208657047724
2004,8,948,4.457352320675105
2004,9,1012,4.5142588932806325
2004,10,1024,4.50193359375
2004,11,1360,4.525963235294118
2004,12,1635,4.618214067278287
2005,1,2124,4.581817325800377
2005,2,1047,4.543591212989494
2005,3,1567,4.533075941289088
2005,4,1803,4.489273433166944
2005,5,1366,4.458272327964861
2005,6,1178,4.497325976230901
2005,7,1147,4.510209241499564
2005,8,1048,4.513740458015267
2005,9,1197,4.522598162071846
2005,10,1237,4.535092966855295
2005,11,959,4.504171011470282
2005,12,1030,4.526165048543689
2006,1,968,4.483161157024793
